"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"O00182","P42892","LGALS9","ECE1","exp"
"O00182","Q86WC4","LGALS9","OSTM1","exp"
"O00182","Q13201","LGALS9","MMRN1","pred"
"O00182","Q92673","LGALS9","SORL1","exp"
"O00182","O15344","LGALS9","MID1","pred"
"O00182","P07942","LGALS9","LAMB1","exp"
"O00182","O60602","LGALS9","TLR5","pred"
"O00182","O15519","LGALS9","CFLAR","pred"
"O00182","P36897","LGALS9","TGFBR1","pred"
"O00182","Q7L591","LGALS9","DOK3","pred"
"O00182","P27658","LGALS9","COL8A1","pred"
"O00182","P08581","LGALS9","MET","exp"
"O00182","P14543","LGALS9","NID1","exp"
"O00182","Q8TCE9","LGALS9","LGALS14","pred"
"O00182","O75054","LGALS9","IGSF3","exp"
"O00182","O60279","LGALS9","SUSD5","exp"
"O00182","P07996","LGALS9","THBS1","pred"
"O00182","Q5VZM2","LGALS9","RRAGB","exp"
"O00182","Q12913","LGALS9","PTPRJ","exp"
"O00182","P05162","LGALS9","LGALS2","pred"
"O00182","P11117","LGALS9","ACP2","exp"
"O00182","Q9UP95","LGALS9","SLC12A4","exp"
"O00182","P29466","LGALS9","CASP1","pred"
"O00182","Q16787","LGALS9","LAMA3","pred"
"O00182","Q68D85","LGALS9","NCR3LG1","exp"
"O00182","Q9Y6M7","LGALS9","SLC4A7","exp"
"O00182","Q9UIQ6","LGALS9","LNPEP","exp"
"O00182","P05155","LGALS9","SERPING1","exp"
"O00182","O00754","LGALS9","MAN2B1","exp"
"O00182","Q04656","LGALS9","ATP7A","exp"
"O00182","P35222","LGALS9","CTNNB1","exp"
"O00182","Q6DKI2","LGALS9","LGALS9C","exp;pred"
"O00182","P23634","LGALS9","ATP2B4","exp"
"O00182","P23142","LGALS9","FBLN1","exp"
"O00182","P13612","LGALS9","ITGA4","exp"
"O00182","P08887","LGALS9","IL6R","pred"
"O00182","Q06124","LGALS9","PTPN11","exp"
"O00182","P05107","LGALS9","ITGB2","pred"
"O00182","Q14112","LGALS9","NID2","exp"
"O00182","Q13158","LGALS9","FADD","pred"
"O00182","P08962","LGALS9","CD63","exp"
"O00182","P25942","LGALS9","CD40","pred"
"O00182","O60637","LGALS9","TSPAN3","exp"
"O00182","Q9BXP2","LGALS9","SLC12A9","exp"
"O00182","P05556","LGALS9","ITGB1","exp"
"O00182","P47929","LGALS9","LGALS7;LGALS7B","pred"
"O00182","P16070","LGALS9","CD44","exp"
"O00182","P43146","LGALS9","DCC","pred"
"O00182","P09564","LGALS9","CD7","pred"
"O00182","Q15262","LGALS9","PTPRK","exp"
