"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"O43353","P80192","RIPK2","MAP3K9","pred"
"O43353","Q16873","RIPK2","LTC4S","pred"
"O43353","P41252","RIPK2","IARS","pred"
"O43353","P54652","RIPK2","HSPA2","exp;pred"
"O43353","Q09472","RIPK2","EP300","pred"
"O43353","P19338","RIPK2","NCL","pred"
"O43353","P28074","RIPK2","PSMB5","exp"
"O43353","Q13177","RIPK2","PAK2","pred"
"O43353","Q13422","RIPK2","IKZF1","pred"
"O43353","P11021","RIPK2","HSPA5","pred"
"O43353","O95819","RIPK2","MAP4K4","pred"
"O43353","P29320","RIPK2","EPHA3","pred"
"O43353","O95831","RIPK2","AIFM1","pred"
"O43353","Q15027","RIPK2","ACAP1","pred"
"O43353","Q5VVH5","RIPK2","IRAK1BP1","pred"
"O43353","P29474","RIPK2","NOS3","pred"
"O43353","P53667","RIPK2","LIMK1","pred"
"O43353","Q9BXK5","RIPK2","BCL2L13","pred"
"O43353","P06733","RIPK2","ENO1","exp;pred"
"O43353","Q99933","RIPK2","BAG1","pred"
"O43353","P12236","RIPK2","SLC25A6","pred"
"O43353","Q9BUZ4","RIPK2","TRAF4","exp;pred"
"O43353","Q9UM54","RIPK2","MYO6","pred"
"O43353","P35222","RIPK2","CTNNB1","exp"
"O43353","Q8N2H9","RIPK2","PELI3","exp;pred"
"O43353","Q96F15","RIPK2","GIMAP5","pred"
"O43353","Q4G148","RIPK2","GXYLT1","exp"
"O43353","P54132","RIPK2","BLM","pred"
"O43353","P62837","RIPK2","UBE2D2","pred"
"O43353","Q9Y2G2","RIPK2","CARD8","pred"
"O43353","Q9UL46","RIPK2","PSME2","pred"
"O43353","O60763","RIPK2","USO1","pred"
"O43353","Q13153","RIPK2","PAK1","pred"
"O43353","Q9Y6Q6","RIPK2","TNFRSF11A","pred"
"O43353","Q13748","RIPK2","TUBA3C;TUBA3D","exp;pred"
"O43353","P52657","RIPK2","GTF2A2","pred"
"O43353","Q9BWT7","RIPK2","CARD10","pred"
"O43353","P61247","RIPK2","RPS3A","pred"
"O43353","Q9NYL2","RIPK2","MAP3K20","pred"
"O43353","Q8N4C8","RIPK2","MINK1","pred"
"O43353","Q8IVH8","RIPK2","MAP4K3","pred"
"O43353","P08069","RIPK2","IGF1R","pred"
"O43353","P19784","RIPK2","CSNK2A2","pred"
"O43353","Q01151","RIPK2","CD83","pred"
"O43353","Q9C0K0","RIPK2","BCL11B","pred"
"O43353","P08575","RIPK2","PTPRC","pred"
"O43353","P33681","RIPK2","CD80","pred"
"O43353","P02768","RIPK2","ALB","pred"
"O43353","Q9NYJ8","RIPK2","TAB2","exp;pred"
"O43353","Q9UNE7","RIPK2","STUB1","pred"
"O43353","P51878","RIPK2","CASP5","pred"
"O43353","P07949","RIPK2","RET","pred"
"O43353","P28907","RIPK2","CD38","pred"
"O43353","Q13158","RIPK2","FADD","pred"
"O43353","P37173","RIPK2","TGFBR2","pred"
"O43353","Q9NWF9","RIPK2","RNF216","pred"
"O43353","P08107","RIPK2","-","pred"
"O43353","P34932","RIPK2","HSPA4","pred"
"O43353","Q9Y6Q9","RIPK2","NCOA3","pred"
"O43353","P55210","RIPK2","CASP7","pred"
"O43353","Q15750","RIPK2","TAB1","exp;pred"
"O43353","Q5S007","RIPK2","LRRK2","exp;ortho"
"O43353","Q04206","RIPK2","RELA","pred"
"O43353","P60900","RIPK2","PSMA6","exp"
"O43353","P23458","RIPK2","JAK1","pred"
"O43353","P08670","RIPK2","VIM","exp;pred"
"O43353","P14625","RIPK2","HSP90B1","pred"
"O43353","P00558","RIPK2","PGK1","pred"
"O43353","Q9UDY8","RIPK2","MALT1","pred"
"O43353","Q14116","RIPK2","IL18","pred"
"O43353","P19525","RIPK2","EIF2AK2","pred"
"O43353","Q13233","RIPK2","MAP3K1","pred"
"O43353","Q9Y616","RIPK2","IRAK3","pred"
"O43353","Q15797","RIPK2","SMAD1","pred"
"O43353","P17612","RIPK2","PRKACA","pred"
"O43353","Q13163","RIPK2","MAP2K5","pred"
"O43353","P42575","RIPK2","CASP2","pred"
"O43353","Q8TAU0","RIPK2","NKX2-3","pred"
"O43353","P22455","RIPK2","FGFR4","pred"
"O43353","Q99623","RIPK2","PHB2","exp"
"O43353","P17066","RIPK2","HSPA6","exp;pred"
"O43353","Q9BQE3","RIPK2","TUBA1C","pred"
"O43353","O95347","RIPK2","SMC2","pred"
"O43353","P35579","RIPK2","MYH9","exp;pred"
"O43353","P55008","RIPK2","AIF1","pred"
"O43353","P35580","RIPK2","MYH10","exp;pred"
"O43353","P04350","RIPK2","TUBB4A","exp;pred"
"O43353","Q9UKE5","RIPK2","TNIK","pred"
"O43353","P51991","RIPK2","HNRNPA3","exp"
"O43353","P22301","RIPK2","IL10","pred"
"O43353","P32121","RIPK2","ARRB2","pred"
"O43353","P20749","RIPK2","BCL3","pred"
"O43353","P09327","RIPK2","VIL1","pred"
"O43353","P42081","RIPK2","CD86","pred"
"O43353","Q00610","RIPK2","CLTC","pred"
"O43353","P46940","RIPK2","IQGAP1","pred"
"O43353","Q9Y3U8","RIPK2","RPL36","exp"
"O43353","P43246","RIPK2","MSH2","pred"
"O43353","P10275","RIPK2","AR","pred"
"O43353","Q9Y2C9","RIPK2","TLR6","pred"
"O43353","Q9NQ38","RIPK2","SPINK5","pred"
"O43353","Q9NY61","RIPK2","AATF","pred"
"O43353","Q13485","RIPK2","SMAD4","exp"
"O43353","O95999","RIPK2","BCL10","exp;pred"
"O43353","Q9UPY3","RIPK2","DICER1","pred"
"O43353","Q96P20","RIPK2","NLRP3","pred"
"O43353","Q6UXS9","RIPK2","CASP12","exp;pred"
"O43353","P43489","RIPK2","TNFRSF4","pred"
"O43353","Q29980","RIPK2","MICB","pred"
"O43353","P05455","RIPK2","SSB","pred"
"O43353","Q00005","RIPK2","PPP2R2B","pred"
"O43353","P0CG48","RIPK2","UBC","exp"
"O43353","Q9ULH0","RIPK2","KIDINS220","pred"
"O43353","Q99683","RIPK2","MAP3K5","pred"
"O43353","P04406","RIPK2","GAPDH","exp;pred"
"O43353","O60674","RIPK2","JAK2","pred"
"O43353","P51617","RIPK2","IRAK1","exp;pred"
"O43353","Q92997","RIPK2","DVL3","pred"
"O43353","P41743","RIPK2","PRKCI","pred"
"O43353","P08238","RIPK2","HSP90AB1","pred"
"O43353","P51159","RIPK2","RAB27A","pred"
"O43353","P15018","RIPK2","LIF","pred"
"O43353","Q15011","RIPK2","HERPUD1","pred"
"O43353","P42677","RIPK2","RPS27","pred"
"O43353","O43353","RIPK2","RIPK2","exp"
"O43353","P06213","RIPK2","INSR","pred"
"O43353","P23193","RIPK2","TCEA1","pred"
"O43353","Q15654","RIPK2","TRIP6","exp"
"O43353","Q9Y5A7","RIPK2","NUB1","pred"
"O43353","P06239","RIPK2","LCK","pred"
"O43353","Q9H853","RIPK2","TUBA4B","pred"
"O43353","Q9UHB6","RIPK2","LIMA1","pred"
"O43353","Q16832","RIPK2","DDR2","pred"
"O43353","Q15628","RIPK2","TRADD","pred"
"O43353","P98170","RIPK2","XIAP","exp;pred"
"O43353","Q14318","RIPK2","FKBP8","pred"
"O43353","Q8IV63","RIPK2","VRK3","pred"
"O43353","Q9Y6Y9","RIPK2","LY96","pred"
"O43353","P61289","RIPK2","PSME3","pred"
"O43353","P00519","RIPK2","ABL1","pred"
"O43353","Q9Y6R4","RIPK2","MAP3K4","exp;pred"
"O43353","Q9Y279","RIPK2","VSIG4","pred"
"O43353","Q14653","RIPK2","IRF3","pred"
"O43353","Q16643","RIPK2","DBN1","pred"
"O43353","O95373","RIPK2","IPO7","pred"
"O43353","Q9BQ51","RIPK2","PDCD1LG2","pred"
"O43353","Q15109","RIPK2","AGER","pred"
"O43353","Q16539","RIPK2","MAPK14","pred"
"O43353","P13232","RIPK2","IL7","pred"
"O43353","Q12933","RIPK2","TRAF2","exp;pred"
"O43353","Q07812","RIPK2","BAX","pred"
"O43353","P02790","RIPK2","HPX","pred"
"O43353","P41182","RIPK2","BCL6","pred"
"O43353","Q16584","RIPK2","MAP3K11","pred"
"O43353","O75691","RIPK2","UTP20","pred"
"O43353","P36941","RIPK2","LTBR","pred"
"O43353","Q92844","RIPK2","TANK","pred"
"O43353","Q99836","RIPK2","MYD88","pred"
"O43353","Q15303","RIPK2","ERBB4","pred"
"O43353","P02649","RIPK2","APOE","pred"
"O43353","Q06187","RIPK2","BTK","pred"
"O43353","Q6IA17","RIPK2","SIGIRR","pred"
"O43353","P11362","RIPK2","FGFR1","pred"
"O43353","Q15831","RIPK2","STK11","pred"
"O43353","Q56P42","RIPK2","PYDC2","pred"
"O43353","Q6UWB1","RIPK2","IL27RA","pred"
"O43353","Q92734","RIPK2","TFG","pred"
"O43353","P14678","RIPK2","SNRPB","pred"
"O43353","Q9UNS2","RIPK2","COPS3","pred"
"O43353","Q96EX3","RIPK2","WDR34","pred"
"O43353","Q9Y6K9","RIPK2","IKBKG","exp;ortho;pred"
"O43353","P38646","RIPK2","HSPA9","pred"
"O43353","P24394","RIPK2","IL4R","pred"
"O43353","P06241","RIPK2","FYN","pred"
"O43353","P25963","RIPK2","NFKBIA","pred"
"O43353","Q9UNM6","RIPK2","PSMD13","pred"
"O43353","Q9NQC7","RIPK2","CYLD","ortho;pred"
"O43353","P14778","RIPK2","IL1R1","pred"
"O43353","Q9HCE7","RIPK2","SMURF1","exp;pred"
"O43353","P04049","RIPK2","RAF1","exp;pred"
"O43353","P53350","RIPK2","PLK1","pred"
"O43353","Q16512","RIPK2","PKN1","pred"
"O43353","Q7Z6A9","RIPK2","BTLA","pred"
"O43353","P24941","RIPK2","CDK2","pred"
"O43353","Q05639","RIPK2","EEF1A2","pred"
"O43353","P62140","RIPK2","PPP1CB","pred"
"O43353","P15311","RIPK2","EZR","exp;pred"
"O43353","P29459","RIPK2","IL12A","pred"
"O43353","Q9UBU9","RIPK2","NXF1","exp"
"O43353","Q9BXL7","RIPK2","CARD11","pred"
"O43353","P78527","RIPK2","PRKDC","pred"
"O43353","Q9Y4C1","RIPK2","KDM3A","exp"
"O43353","P07900","RIPK2","HSP90AA1","exp;pred"
"O43353","Q13885","RIPK2","TUBB2A","pred"
"O43353","Q9NRI5","RIPK2","DISC1","pred"
"O43353","Q13451","RIPK2","FKBP5","pred"
"O43353","P05362","RIPK2","ICAM1","pred"
"O43353","Q9Y4K3","RIPK2","TRAF6","exp;ortho;pred"
"O43353","Q96FA3","RIPK2","PELI1","pred"
"O43353","Q53EL6","RIPK2","PDCD4","pred"
"O43353","Q9NZ23","RIPK2","YA61","exp"
"O43353","P42772","RIPK2","CDKN2B","pred"
"O43353","P17275","RIPK2","JUNB","pred"
"O43353","O75663","RIPK2","TIPRL","pred"
"O43353","Q86Z02","RIPK2","HIPK1","pred"
"O43353","Q86VP1","RIPK2","TAX1BP1","pred"
"O43353","P53355","RIPK2","DAPK1","pred"
"O43353","Q96MN2","RIPK2","NLRP4","pred"
"O43353","P34931","RIPK2","HSPA1L","exp;pred"
"O43353","P17252","RIPK2","PRKCA","pred"
"O43353","P07996","RIPK2","THBS1","pred"
"O43353","Q14257","RIPK2","RCN2","pred"
"O43353","P68363","RIPK2","TUBA1B","pred"
"O43353","P27361","RIPK2","MAPK3","pred"
"O43353","Q07912","RIPK2","TNK2","pred"
"O43353","Q9Y6N7","RIPK2","ROBO1","pred"
"O43353","P62258","RIPK2","YWHAE","pred"
"O43353","Q13490","RIPK2","BIRC2","exp;pred"
"O43353","Q8TDR0","RIPK2","TRAF3IP1","pred"
"O43353","P23396","RIPK2","RPS3","pred"
"O43353","P21796","RIPK2","VDAC1","exp"
"O43353","Q01826","RIPK2","SATB1","pred"
"O43353","Q9P2K8","RIPK2","EIF2AK4","pred"
"O43353","Q9UBC1","RIPK2","NFKBIL1","pred"
"O43353","P10586","RIPK2","PTPRF","pred"
"O43353","O95998","RIPK2","IL18BP","pred"
"O43353","Q9UKV5","RIPK2","AMFR","pred"
"O43353","P49841","RIPK2","GSK3B","exp;pred"
"O43353","P51692","RIPK2","STAT5B","pred"
"O43353","Q5JXB2","RIPK2","UBE2NL","pred"
"O43353","P16591","RIPK2","FER","pred"
"O43353","Q9UHI6","RIPK2","DDX20","pred"
"O43353","Q99607","RIPK2","ELF4","pred"
"O43353","Q495A1","RIPK2","TIGIT","pred"
"O43353","P36897","RIPK2","TGFBR1","pred"
"O43353","P11684","RIPK2","SCGB1A1","pred"
"O43353","P04150","RIPK2","NR3C1","pred"
"O43353","P61077","RIPK2","UBE2D3","pred"
"O43353","Q8NFZ5","RIPK2","TNIP2","pred"
"O43353","P25789","RIPK2","PSMA4","pred"
"O43353","P29728","RIPK2","OAS2","pred"
"O43353","P63261","RIPK2","ACTG1","exp;pred"
"O43353","Q9BX69","RIPK2","CARD6","exp;ortho;pred"
"O43353","P45983","RIPK2","MAPK8","pred"
"O43353","P11142","RIPK2","HSPA8","exp;pred"
"O43353","Q9NQB0","RIPK2","TCF7L2","pred"
"O43353","P30084","RIPK2","ECHS1","exp"
"O43353","Q13501","RIPK2","SQSTM1","pred"
"O43353","P43403","RIPK2","ZAP70","pred"
"O43353","Q9H112","RIPK2","CST11","pred"
"O43353","P14555","RIPK2","PLA2G2A","pred"
"O43353","P16410","RIPK2","CTLA4","pred"
"O43353","P05141","RIPK2","SLC25A5","pred"
"O43353","P30049","RIPK2","ATP5D","exp"
"O43353","Q9UHD2","RIPK2","TBK1","pred"
"O43353","Q8NET5","RIPK2","NFAM1","pred"
"O43353","P28482","RIPK2","MAPK1","pred"
"O43353","P59044","RIPK2","NLRP6","pred"
"O43353","Q9HCE1","RIPK2","MOV10","exp"
"O43353","Q9C0K7","RIPK2","STRADB","pred"
"O43353","P02776","RIPK2","PF4","pred"
"O43353","P60709","RIPK2","ACTB","pred"
"O43353","P06493","RIPK2","CDK1","pred"
"O43353","Q02156","RIPK2","PRKCE","pred"
"O43353","Q99584","RIPK2","S100A13","pred"
"O43353","Q8WX94","RIPK2","NLRP7","pred"
"O43353","Q86Y07","RIPK2","VRK2","pred"
"O43353","P0DP23","RIPK2","CALM1","exp"
"O43353","Q9Y572","RIPK2","RIPK3","pred"
"O43353","P43146","RIPK2","DCC","pred"
"O43353","P32519","RIPK2","ELF1","pred"
"O43353","Q7L5N1","RIPK2","COPS6","pred"
"O43353","Q96RU8","RIPK2","TRIB1","pred"
"O43353","P04626","RIPK2","ERBB2","pred"
"O43353","Q96BI1","RIPK2","SLC22A18","pred"
"O43353","P17677","RIPK2","GAP43","pred"
"O43353","Q96RU7","RIPK2","TRIB3","pred"
"O43353","O43464","RIPK2","HTRA2","pred"
"O43353","Q9BXL6","RIPK2","CARD14","pred"
"O43353","P09769","RIPK2","FGR","pred"
"O43353","Q9GZQ8","RIPK2","MAP1LC3B","pred"
"O43353","Q9HC29","RIPK2","NOD2","exp;ortho;pred"
"O43353","Q92692","RIPK2","NECTIN2","pred"
"O43353","P29460","RIPK2","IL12B","pred"
"O43353","P49407","RIPK2","ARRB1","pred"
"O43353","P01588","RIPK2","EPO","pred"
"O43353","Q13535","RIPK2","ATR","pred"
"O43353","Q96EP0","RIPK2","RNF31","exp"
"O43353","P81534","RIPK2","DEFB103A;DEFB103B","pred"
"O43353","O43557","RIPK2","TNFSF14","pred"
"O43353","Q00653","RIPK2","NFKB2","pred"
"O43353","Q9H257","RIPK2","CARD9","exp;ortho;pred"
"O43353","P31749","RIPK2","AKT1","pred"
"O43353","P40763","RIPK2","STAT3","pred"
"O43353","Q06945","RIPK2","SOX4","pred"
"O43353","P40939","RIPK2","HADHA","pred"
"O43353","P19438","RIPK2","TNFRSF1A","exp;pred"
"O43353","P60660","RIPK2","MYL6","pred"
"O43353","P37275","RIPK2","ZEB1","pred"
"O43353","P60520","RIPK2","GABARAPL2","pred"
"O43353","Q15058","RIPK2","KIF14","exp"
"O43353","P10966","RIPK2","CD8B","pred"
"O43353","P19105","RIPK2","MYL12A","pred"
"O43353","Q99759","RIPK2","MAP3K3","pred"
"O43353","Q9UMW8","RIPK2","USP18","pred"
"O43353","Q13873","RIPK2","BMPR2","pred"
"O43353","P57075","RIPK2","UBASH3A","pred"
"O43353","P27708","RIPK2","CAD","pred"
"O43353","O95382","RIPK2","MAP3K6","pred"
"O43353","P08631","RIPK2","HCK","pred"
"O43353","Q05513","RIPK2","PRKCZ","pred"
"O43353","P57678","RIPK2","GEMIN4","exp"
"O43353","Q96CV9","RIPK2","OPTN","pred"
"O43353","P25942","RIPK2","CD40","exp;pred"
"O43353","P62158","RIPK2","-","pred"
"O43353","P11309","RIPK2","PIM1","pred"
"O43353","Q9P1W8","RIPK2","SIRPG","pred"
"O43353","P09874","RIPK2","PARP1","pred"
"O43353","Q8NDD8","RIPK2","DKFZp564H223","exp"
"O43353","P63279","RIPK2","UBE2I","exp"
"O43353","Q92851","RIPK2","CASP10","pred"
"O43353","Q9H2X6","RIPK2","HIPK2","pred"
"O43353","P21333","RIPK2","FLNA","pred"
"O43353","Q13075","RIPK2","NAIP","pred"
"O43353","O95684","RIPK2","FGFR1OP","exp"
"O43353","Q9UGN5","RIPK2","PARP2","pred"
"O43353","P26842","RIPK2","CD27","pred"
"O43353","Q8WXC3","RIPK2","PYDC1","pred"
"O43353","Q01201","RIPK2","RELB","pred"
"O43353","P20333","RIPK2","TNFRSF1B","pred"
"O43353","Q9Y286","RIPK2","SIGLEC7","pred"
"O43353","Q01974","RIPK2","ROR2","pred"
"O43353","P34897","RIPK2","SHMT2","exp"
"O43353","Q93009","RIPK2","USP7","pred"
"O43353","P07948","RIPK2","LYN","pred"
"O43353","P25445","RIPK2","FAS","pred"
"O43353","P07814","RIPK2","EPRS","pred"
"O43353","Q13077","RIPK2","TRAF1","exp;pred"
"O43353","Q16666","RIPK2","IFI16","pred"
"O43353","Q5XLA6","RIPK2","CARD17","pred"
"O43353","Q9NR28","RIPK2","DIABLO","pred"
"O43353","P48431","RIPK2","SOX2","pred"
"O43353","P05423","RIPK2","POLR3D","pred"
"O43353","P68371","RIPK2","TUBB4B","pred"
"O43353","Q06323","RIPK2","PSME1","pred"
"O43353","Q13404","RIPK2","UBE2V1","pred"
"O43390","P17181","HNRNPR","IFNAR1","pred"
"O43426","P48023","SYNJ1","FASLG","pred"
"O43426","Q9Y2R2","SYNJ1","PTPN22","pred"
"O43463","Q7Z699","SUV39H1","SPRED1","exp"
"O43488","Q9Y2R2","AKR7A2","PTPN22","exp"
"O43493","P17181","TGOLN2","IFNAR1","pred"
"O43506","Q9UKF2","ADAM20","ADAM30","pred"
"O43508","P48023","TNFSF12","FASLG","pred"
"O43521","P48023","BCL2L11","FASLG","exp"
"O43524","P48023","FOXO3","FASLG","exp"
"O43541","Q86VZ6","SMAD6","JAZF1","pred"
"O43557","P17181","TNFSF14","IFNAR1","pred"
"O43557","P48023","TNFSF14","FASLG","pred"
"O43557","Q9UNG2","TNFSF14","TNFSF18","pred"
"O43561","P48023","LAT","FASLG","pred"
"O43561","Q9Y2R2","LAT","PTPN22","pred"
"O43566","Q9HC29","RGS14","NOD2","pred"
"O43586","P48023","PSTPIP1","FASLG","exp;ortho;pred"
"O43586","Q9Y2R2","PSTPIP1","PTPN22","exp;ortho"
"O43597","Q02930","SPRY2","CREB5","exp"
"O43597","Q7Z699","SPRY2","SPRED1","pred"
"O43609","Q02930","SPRY1","CREB5","exp"
"O43609","Q7Z699","SPRY1","SPRED1","pred"
"O43639","P40189","NCK2","IL6ST","pred"
"O43639","P48023","NCK2","FASLG","exp;pred"
"O43639","Q9Y2R2","NCK2","PTPN22","pred"
"O43674","Q676U5","NDUFB5","ATG16L1","exp"
"O43707","P35228","ACTN4","NOS2","exp;ortho;pred"
"O43734","Q9HC29","TRAF3IP2","NOD2","pred"
"O43739","Q7Z699","CYTH3","SPRED1","pred"
"O43809","Q86VZ6","NUDT21","JAZF1","pred"
"O43819","Q9Y2R2","SCO2","PTPN22","exp"
"O43852","P35228","CALU","NOS2","exp"
"O43852","Q9Y2R2","CALU","PTPN22","exp"
"O43914","Q92619","TYROBP","ARHGAP45","pred"
"O43929","Q8IV20","ORC4","LACC1","exp"
"O60218","P35228","AKR1B10","NOS2","exp"
"O60229","O95267","KALRN","RASGRP1","pred"
"O60229","P35228","KALRN","NOS2","ortho;pred"
"O60229","P48023","KALRN","FASLG","exp"
"O60234","Q92619","GMFG","ARHGAP45","pred"
"O60238","Q676U5","BNIP3L","ATG16L1","pred"
"O60260","Q9HC29","PRKN","NOD2","pred"
"O60469","P40189","DSCAM","IL6ST","pred"
"O60469","P48023","DSCAM","FASLG","pred"
"O60496","P48023","DOK2","FASLG","pred"
"O60500","P40189","NPHS1","IL6ST","pred"
"O60500","P48023","NPHS1","FASLG","pred"
"O60500","Q8NI17","NPHS1","IL31RA","pred"
"O60502","P40189","MGEA5","IL6ST","pred"
"O60504","P48023","SORBS3","FASLG","exp"
"O60506","Q17RY0","SYNCRIP","CPEB4","pred"
"O60543","Q9HC29","CIDEA","NOD2","pred"
"O60602","Q9HC29","TLR5","NOD2","pred"
"O60603","Q676U5","TLR2","ATG16L1","exp"
"O60603","Q9HC29","TLR2","NOD2","pred"
"O60658","Q02930","PDE8A","CREB5","pred"
"O60667","P40189","FCMR","IL6ST","pred"
"O60674","P17181","JAK2","IFNAR1","pred"
"O60674","P38484","JAK2","IFNGR2","exp;ortho;pred"
"O60674","P40189","JAK2","IL6ST","exp;ortho;pred"
"O60674","P48023","JAK2","FASLG","pred"
"O60674","Q5VWK5","JAK2","IL23R","exp"
"O60674","Q8NI17","JAK2","IL31RA","pred"
"O60674","Q9HC29","JAK2","NOD2","pred"
"O60674","Q9Y2R2","JAK2","PTPN22","pred"
"O60687","P48023","SRPX2","FASLG","pred"
"O60711","Q92619","LPXN","ARHGAP45","pred"
"O60716","P48023","CTNND1","FASLG","pred"
"O60749","P48023","SNX2","FASLG","pred"
"O60749","Q9HC29","SNX2","NOD2","pred"
"O60880","P48023","SH2D1A","FASLG","pred"
"O60880","Q9HC29","SH2D1A","NOD2","pred"
"O60884","P35228","DNAJA2","NOS2","exp"
"O60885","P48023","BRD4","FASLG","pred"
"O60890","P35228","OPHN1","NOS2","pred"
"O60936","P48023","NOL3","FASLG","pred"
"O60936","Q9HC29","NOL3","NOD2","pred"
"O75044","P48023","SRGAP2","FASLG","exp"
"O75044","Q92619","SRGAP2","ARHGAP45","pred"
"O75051","Q9UKF2","PLXNA2","ADAM30","exp"
"O75077","Q9UKF2","ADAM23","ADAM30","pred"
"O75078","Q676U5","ADAM11","ATG16L1","pred"
"O75143","Q676U5","ATG13","ATG16L1","exp;ortho;pred"
"O75144","P40189","ICOSLG","IL6ST","pred"
"O75146","Q92619","HIP1R","ARHGAP45","pred"
"O75153","Q8IV20","CLUH","LACC1","exp"
"O75159","O95267","SOCS5","RASGRP1","pred"
"O75159","P17181","SOCS5","IFNAR1","pred"
"O75159","Q8NI17","SOCS5","IL31RA","pred"
"O75179","Q9HC29","ANKRD17","NOD2","exp"
"O75251","P36969","NDUFS7","GPX4","pred"
"O75326","P48023","SEMA7A","FASLG","pred"
"O75340","P48023","PDCD6","FASLG","exp;pred"
"O75348","Q8IV20","ATP6V1G1","LACC1","exp"
"O75369","P48023","FLNB","FASLG","pred"
"O75376","P35228","NCOR1","NOS2","pred"
"O75376","Q676U5","NCOR1","ATG16L1","pred"
"O75376","Q86VZ6","NCOR1","JAZF1","pred"
"O75376","Q9HC29","NCOR1","NOD2","pred"
"O75385","Q676U5","ULK1","ATG16L1","exp;ortho;pred"
"O75400","P48023","PRPF40A","FASLG","exp"
"O75529","Q86VZ6","TAF5L","JAZF1","ortho"
"O75530","P36969","EED","GPX4","ortho"
"O75558","Q9HC29","STX11","NOD2","pred"
"O75563","P48023","SKAP2","FASLG","exp"
"O75563","Q9Y2R2","SKAP2","PTPN22","exp"
"O75578","P48023","ITGA10","FASLG","pred"
"O75592","P35228","MYCBP2","NOS2","exp"
"O75594","Q9HC29","PGLYRP1","NOD2","pred"
"O75603","P48023","GCM2","FASLG","pred"
"O75618","P48023","DEDD","FASLG","pred"
"O75679","P48023","RFPL3","FASLG","pred"
"O75688","O95267","PPM1B","RASGRP1","exp"
"O75688","P35228","PPM1B","NOS2","exp"
"O75715","P36969","GPX5","GPX4","pred"
"O75746","P35228","SLC25A12","NOS2","pred"
"O75791","O95267","GRAP2","RASGRP1","pred"
"O75791","P48023","GRAP2","FASLG","exp;pred"
"O75791","Q9Y2R2","GRAP2","PTPN22","pred"
"O75843","Q92619","AP1G2","ARHGAP45","pred"
"O75874","Q9Y2R2","IDH1","PTPN22","pred"
"O75888","P40189","TNFSF13","IL6ST","pred"
"O75888","P48023","TNFSF13","FASLG","pred"
"O75888","Q9UNG2","TNFSF13","TNFSF18","pred"
"O75914","P35228","PAK3","NOS2","pred"
"O75925","P17181","PIAS1","IFNAR1","pred"
"O75925","P35228","PIAS1","NOS2","pred"
"O75973","P55089","C1QL1","UCN","pred"
"O75995","Q92619","SASH3","ARHGAP45","pred"
"O76031","P48023","CLPX","FASLG","exp"
"O76036","P40189","NCR1","IL6ST","pred"
"O76081","P48023","RGS20","FASLG","exp"
"O76081","Q02930","RGS20","CREB5","exp"
"O94804","Q92619","STK10","ARHGAP45","pred"
"O94813","P40189","SLIT2","IL6ST","pred"
"O94813","P48023","SLIT2","FASLG","pred"
"O94813","Q9HC29","SLIT2","NOD2","pred"
"O94817","Q676U5","ATG12","ATG16L1","exp;ortho;pred"
"O94832","Q9HC29","MYO1D","NOD2","pred"
"O94856","P40189","NFASC","IL6ST","pred"
"O94868","Q8IV20","FCHSD2","LACC1","exp"
"O94983","P40189","CAMTA2","IL6ST","pred"
"O95049","P48023","TJP3","FASLG","exp"
"O95147","Q8IV20","DUSP14","LACC1","exp"
"O95147","Q8NI17","DUSP14","IL31RA","exp"
"O95150","P48023","TNFSF15","FASLG","pred"
"O95150","Q9UNG2","TNFSF15","TNFSF18","pred"
"O95166","P36969","GABARAP","GPX4","pred"
"O95166","Q676U5","GABARAP","ATG16L1","exp;pred"
"O95185","Q9HC29","UNC5C","NOD2","pred"
"O95249","Q5VWK5","GOSR1","IL23R","pred"
"O95256","Q8N103","IL18RAP","TAGAP","pred"
"O95267","Q8WXI2","RASGRP1","CNKSR2","pred"
"O95267","O95294","RASGRP1","RASAL1","pred"
"O95267","Q9NRJ4","RASGRP1","TULP4","pred"
"O95267","P62070","RASGRP1","RRAS2","pred"
"O95267","Q9UN86","RASGRP1","G3BP2","pred"
"O95267","Q96BD6","RASGRP1","SPSB1","pred"
"O95267","Q02779","RASGRP1","MAP3K10","pred"
"O95267","Q99619","RASGRP1","SPSB2","pred"
"O95267","P59190","RASGRP1","RAB15","pred"
"O95267","Q6ZV89","RASGRP1","SH2D5","pred"
"O95267","Q96D21","RASGRP1","RASD2","pred"
"O95267","Q9NYI0","RASGRP1","PSD3","pred"
"O95267","Q13574","RASGRP1","DGKZ","exp;pred"
"O95267","Q8WXI3","RASGRP1","ASB10","pred"
"O95267","Q8TAI7","RASGRP1","RHEBL1","pred"
"O95267","Q9NR81","RASGRP1","ARHGEF3","pred"
"O95267","Q9ULW5","RASGRP1","RAB26","pred"
"O95267","Q96P47","RASGRP1","AGAP3","pred"
"O95267","P55290","RASGRP1","CDH13","pred"
"O95267","Q9UHV5","RASGRP1","RAPGEFL1","pred"
"O95267","Q9Y576","RASGRP1","ASB1","pred"
"O95267","P62993","RASGRP1","GRB2","pred"
"O95267","P06239","RASGRP1","LCK","pred"
"O95267","P46109","RASGRP1","CRKL","pred"
"O95267","Q8WXH5","RASGRP1","SOCS4","pred"
"O95267","Q05513","RASGRP1","PRKCZ","pred"
"O95267","Q9Y575","RASGRP1","ASB3","pred"
